Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Secondary Sponsor,Sponsor (combined),This Committee Recommendation
HB 1631,f,Child welfare workers,H Rules C,,3/21/19,Senn,,,,,Caldier,Senn,
HB 1632,f#,Plastic food service ware,H Rules R,,2/22/19,Gregerson,,,,,Doglio,Gregerson,
HB 1633,f,Fuel tax rate posting,H subst for,,3/1/19,Goehner,,,,,Entenman,Goehner,
HB 1634,f#,Tax foreclosure/as-is sale,C 28 L 19,,4/17/19,Goehner,,SB 5518(S Rules 3),47-0-0-2,,Eslick,Goehner,
HB 1635,f#,Libraries/internet safety,H Local Govt,,1/25/19,Caldier,,,,,Frame,Caldier,
HB 1636,,UCIOA applicability,H Civil R & Judi,,1/25/19,Morris,,,,,,Morris,
HB 1637,f#,Airborne nuisances,H Civil R & Judi,,1/25/19,Pollet,,,,,Valdez,Pollet,
EHB 1638,af#,Vaccine preventable diseases,Del to Gov,,4/26/19,Harris,,,56-40-0-2,,Stonier,Harris,
HB 1639,,Wolf population expansion,"H RDev, Ag&NR",,1/25/19,Kretz,,,,,Dent,Kretz,
HB 1640,#,Retail pet stores,H ConsPro&Bus,,1/25/19,Appleton,,SB 5209(S Labor & Commer),,,Stanford,Appleton,
HB 1641,f,Highly capable student prgs.,H Approps,,2/20/19,Vick,,SB 5354(S subst for),,,Stonier,Vick,
HB 1642,f#,On-bill repayment programs,H Rules C,,3/21/19,Doglio,,,,,Fey,Doglio,
HB 1643,f,Address confid./property,H subst for,,3/5/19,Doglio,,,,,Walsh,Doglio,
HB 1644,f,Youth development work group,H subst for,,3/4/19,Ortiz-Self,,SB 5665(S Rules X),,,Lovick,Ortiz-Self,
HB 1645,,Parental improvement certs.,H Approps,,2/20/19,Ortiz-Self,,SB 5533(S Rules X),,,Frame,Ortiz-Self,
HB 1646,f,Juvenile rehab. confinement,H subst for,,3/5/19,Goodman,,SB 5737(S Ways & Means),,,Eslick,Goodman,
HB 1647,fd,Pilot rest periods,C 123 L 19,,4/24/19,Chapman,,SB 5563(S Rules X),46-0-0-3,,Boehnke,Chapman,
HB 1648,f,Suicide awareness & prevent.,H Approps,,2/22/19,Orwall,,,,,Klippert,Orwall,
HB 1649,,Concealed pistol lic holders,H Civil R & Judi,,1/25/19,Sutherland,,,,,Irwin,Sutherland,
HB 1650,f,LGBT coordinator/veterans,H Approps,,2/14/19,Kilduff,,,,,Reeves,Kilduff,
HB 1651,f,DSHS dev. disability clients,H Approps,,2/19/19,Kilduff,,SB 5843(S Health & Long),,,Dent,Kilduff,
HB 1652,f#,Paint stewardship,H subst for,,4/25/19,Peterson,,,,,DeBolt,Peterson,
HB 1653,f#,Emergency comm. max tax rate,H Rules R,,2/28/19,Doglio,,SB 5272(S subst for),,,Dolan,Doglio,
HB 1654,f#,Facial recognition tech.,H Rules R,,3/1/19,Ryu,,"SB 5528(S Environment, E)",,,Shea,Ryu,
HB 1655,f#,Procurement/automated system,H Approps,,2/22/19,Hudgins,,"SB 5527(S Environment, E)",,,Shea,Hudgins,
HB 1656,,Residential tenants,H Rules C,,3/21/19,Macri,,SB 5733(S Rules X),,,Jinkins,Macri,
HB 1657,fd,Homeless youth services,C 124 L 19,,4/24/19,Callan,,SB 5470(S Rules X),46-0-0-3,,Eslick,Callan,
HB 1658,f,Paraeducators,H subst for,,3/6/19,Paul,,,,,Steele,Paul,
HB 1659,f#,Health sciences auths/taxes,H Finance,,2/22/19,Corry,,SB 5452(S Ways & Means),,,Riccelli,Corry,
HB 1660,f,Extracurricular/low income,H subst for,,3/12/19,Bergquist,,,,,Harris,Bergquist,
HB 1661,f,Higher education retirement,H subst for,,3/12/19,Chandler,,,,,Ormsby,Chandler,
HB 1662,f#,Payments in lieu of prop tax,H Approps,,2/14/19,Dent,,SB 5696(S Rules X),,,Springer,Dent,
HB 1663,f#,License plate recognition,H Trans,,1/28/19,Chapman,,SB 5529(S Law & Justice),,,Shea,Chapman,
HB 1664,fe#,Electric transportation,H Env & Energy,,1/28/19,Slatter,,SB 5336(S Ways & Means),,,Doglio,Slatter,
HB 1665,f,Domestic waste stream,H Rules C,,3/21/19,Smith,,,,,Morris,Smith,
HB 1666,f#,Abandon/council-manager plan,H Rules C,,3/21/19,Vick,,,,,Walen,Vick,
HB 1667,f#,Public records request admin,H subst for,,3/8/19,Springer,,SB 5667(S State Govt/Tri),,,Walsh,Springer,
HB 1668,f,Washington health corps,H subst for,,3/5/19,Slatter,,,,,Jinkins,Slatter,
HB 1669,#,Fire district powers,H Rules R,,2/15/19,Eslick,,SB 5670(S subst for),,,Sutherland,Eslick,
HB 1670,#,Fire district bid limits,H Rules 3C,,4/28/19,Eslick,,SB 5671(S Local Governme),98-0-0-0,,Sutherland,Eslick,
HB 1671,,Confiscated firearm disposal,H Civil R & Judi,,1/28/19,Dolan,,,,,Klippert,Dolan,
HB 1672,a,Wine recorking,C 169 L 19,,4/29/19,Steele,,,94-0-0-4,,Kirby,Steele,
HB 1673,f,Explosives/public record act,C 125 L 19,,4/24/19,Steele,,,46-1-0-2,,Eslick,Steele,
HB 1674,f,Personalized learning exp.,H Rules 3C,,4/28/19,Rude,,,97-0-0-1,,Steele,Rude,
HB 1675,,Adult family home training,H HC/Wellness,,1/28/19,Tharinger,,SB 5728(S Ways & Means),,,Harris,Tharinger,
HB 1676,f,Arts & crafts/liquor license,H Rules 3C,,4/28/19,MacEwen,,,95-0-0-3,,,MacEwen,
HB 1677,f,B&O tax administration,H Finance,,1/28/19,MacEwen,,,,,Vick,MacEwen,
HB 1678,f#,Invol. treatment/video eval.,H Civil R & Judi,,1/28/19,Irwin,,,,,Jinkins,Irwin,
HB 1679,f#,Councilmanic REET/GMA,H Finance,,1/28/19,Frame,,SB 5676(S Rules X),,,Rude,Frame,
HB 1680,f#,Local infrastructure funding,H Approps,,2/27/19,Doglio,,SB 5952(S Ways & Means),,,Chapman,Doglio,
HB 1681,,Excessive executive comp tax,H Finance,,1/28/19,Doglio,,,,,Entenman,Doglio,
HB 1682,f,Self-insured claim closures,H Rules R,,2/14/19,Sells,,,,,,Sells,
HB 1683,f#,Aviation coordinating comm'n,H Rules R,,3/1/19,Orwall,,SB 5370(S subst for),,,Dent,Orwall,
HB 1684,,Tow truck operator auctions,H Trans,,1/28/19,Kirby,,SB 5668(S subst for),,,Chapman,Kirby,
HB 1685,f,Free or reduced-price meals,H Approps,,2/20/19,Peterson,,,,,Harris,Peterson,
HB 1686,f,Hospital access to care,H subst for,,3/8/19,Macri,,,,,Cody,Macri,
HB 1687,f#,Victim identity defenses,H Rules C,,3/21/19,Stanford,,,,,Doglio,Stanford,
HB 1688,fd,Resident student/veterans,C 126 L 19,,4/24/19,Morgan,,SB 5713(S Rules X),43-0-0-6,,Sutherland,Morgan,
HB 1689,,Athletic trainers,H HC/Wellness,,1/28/19,Riccelli,,SB 5688(S subst for),,,Harris,Riccelli,
HB 1690,f#,Short subdivisions,H Local Govt,,1/28/19,Walen,,ESB 5008(S Rules 3),,,Goehner,Walen,
HB 1691,f#,Local infra/public works brd,H Approps,,2/27/19,Peterson,,,,,Fey,Peterson,
HB 1692,f#,Agency employees/harassment,H subst for,,3/7/19,Jinkins,,,,,Caldier,Jinkins,
HB 1693,,Health care rate setting,H HC/Wellness,,1/28/19,Jinkins,,,,,Cody,Jinkins,
HB 1694,,Tenants/installment payments,H Rules C,,3/21/19,Morgan,,,,,Macri,Morgan,
HB 1695,f#,Pavement condition reporting,H Trans,,1/28/19,Ramos,,,,,Orcutt,Ramos,
HB 1696,f,Wage and salary information,H subst for,,3/9/19,Dolan,,,,,Senn,Dolan,
HB 1697,,Health coverage/young adults,H HC/Wellness,,1/28/19,Macri,,SB 5814(S Health & Long),,,Lekanoff,Macri,
HB 1698,,Presidential candidate taxes,H State Govt & T,,1/28/19,Stanford,,,,,Dolan,Stanford,
HB 1699,f#,Deannexation/parks & rec.,H Rules C,,3/21/19,Eslick,,,,,Peterson,Eslick,
HB 1700,,Substances/use around minor,H Public Safety,,1/28/19,Shea,,,,,Klippert,Shea,
HB 1701,f,Low-cost course material/bac,H Approps,,2/14/19,Van Werven,,,,,Leavitt,Van Werven,
HB 1702,f,Low-cost course material/CTC,H Rules 3C,,4/28/19,Van Werven,,,96-0-0-2,,Leavitt,Van Werven,
HB 1703,f,Tax exemptions,H Finance,,1/28/19,Pollet,,,,,Paul,Pollet,
HB 1704,f,Credit transfer/revisions,H Coll & Wkf Dev,,1/28/19,Caldier,,,,,Appleton,Caldier,
HB 1705,f#,Utility services/tenant,H Civil R & Judi,,1/28/19,Dufault,,,,,Springer,Dufault,
EHB 1706,af,Subminimum wage/disabilities,Del to Gov,,4/26/19,Frame,,SB 5753(S Labor & Commer),90-6-0-2,,Sells,Frame,
HB 1707,f,Disabled veterans/lic plates,H Rules 3C,,4/28/19,Gildon,,,95-0-0-3,,Ryu,Gildon,
HB 1708,fd,Fishing and hunting licenses,H 2nd Reading,,4/25/19,Blake,,SB 5692(S Ways & Means),,,Fitzgibbon,Blake,
HB 1709,,Death penalty,H Public Safety,,1/29/19,Eslick,,SB 5364(S Law & Justice),,,,Eslick,
HB 1710,fd#,HOV lane penalties,H Trans,,1/29/19,Fey,,SB 5695(S subst for),,,Slatter,Fey,
HB 1711,fd#,New counties,H Local Govt,,1/29/19,Walsh,,SB 5760(S Local Governme),,,,Walsh,
HB 1712,f,Farm products/vehicle weight,H Trans,,1/29/19,Dye,,,,,Schmick,Dye,
HB 1713,f#,Native American women,H subst for,,3/5/19,Mosbrucker,,,,,Gregerson,Mosbrucker,
HB 1714,fo,High school diplomas by CTC,Del to Gov,,4/26/19,Entenman,,SB 5113(S Rules 3),48-0-0-1,,Boehnke,Entenman,
HB 1715,fo,Withholding of transcripts,H subst for,,3/6/19,Entenman,,SB 5669(S EL/K-12),,,Boehnke,Entenman,
HB 1716,f,Higher ed./veteran health,H Approps,,2/4/19,Volz,,SB 5428(S subst for),,,Reeves,Volz,
HB 1717,f,Health sciences authorities,H Finance,,1/29/19,Volz,,SB 5596(Del to Gov),,,Riccelli,Volz,
HB 1718,f#,Existing resources/local gov,H Rules C,,3/21/19,Volz,,,,,Senn,Volz,
HB 1719,f#,Mail theft,H Public Safety,,1/29/19,Klippert,,,,,,Klippert,
HB 1720,,Student assessment reqs.,H Education,,1/29/19,Young,,SB 5014(S EL/K-12),,,Pollet,Young,
HB 1721,f,Behavioral health cert. prgs,H Coll & Wkf Dev,,1/29/19,Orwall,,,,,Goodman,Orwall,
HB 1722,f#,Local option/vote tabulation,H Approps,,2/22/19,Gregerson,,SB 5708(S State Govt/Tri),,,Hudgins,Gregerson,
HB 1723,fo,Active transp safety council,H subst for,,3/5/19,Kloba,,SB 5710(S subst for),,,Goodman,Kloba,
HB 1724,f#,Public facilities mitigation,H subst for,,3/4/19,Santos,,SB 5679(S Rules X),,,,Santos,
HB 1725,f,Pesticide application safety,H subst for,,3/11/19,Dent,,SB 5550(S subst for),,,Valdez,Dent,
HB 1726,f,Health care prof. students,Del to Gov,,4/26/19,Riccelli,,,48-0-0-1,,Schmick,Riccelli,
HB 1727,a,Gift cards,Del to Gov,,4/26/19,Walen,,,94-0-0-4,,Ormsby,Walen,
HB 1728,f,Isolated worker protection,H Labor & Workpl,,1/29/19,Frame,,SB 5258(S subst for),,,Sells,Frame,
HB 1729,f,Subst use disorder treatment,H Rules C,,3/21/19,Macri,,SB 5715(S Ways & Means),,,Jinkins,Macri,
HB 1730,af,Payment/limitations period,Del to Gov,,4/26/19,Walen,,,94-0-0-4,,Frame,Walen,
HB 1731,f,WA food policy forum,H Approps,,2/19/19,Gregerson,,,,,Dye,Gregerson,
HB 1732,f#,Bias-based criminal offenses,H subst for,,3/7/19,Valdez,,,,,Entenman,Valdez,
HB 1733,f,Productive farmland,H Approps,,2/22/19,Gregerson,,SB 5543(S Ways & Means),,,Dye,Gregerson,
HB 1734,f,College in high school accr.,H subst for,,3/11/19,Leavitt,,SB 5706(S Rules X),,,Boehnke,Leavitt,
HB 1735,f,Higher education programs,H Coll & Wkf Dev,,1/29/19,Pollet,,,,,Sells,Pollet,
HB 1736,f,Adaptive agricultural equip.,H Finance,,2/19/19,Kraft,,,,,Lovick,Kraft,
HB 1737,f#,Utility service annexation,H Local Govt,,1/29/19,Kraft,,,,,Pollet,Kraft,
HB 1738,f#,Tax return filing thresholds,H Rules R,,3/26/19,Kraft,,,,,Stokesbary,Kraft,
HB 1739,fd#,"Firearms/undetectable, etc.",H subst for,,3/4/19,Valdez,,,,,Dolan,Valdez,
HB 1740,f,DCYF/minimum security status,H Approps,,2/8/19,Lovick,,SB 5815(S subst for),,,Klippert,Lovick,
HB 1741,,Rabies antibody titers,"H RDev, Ag&NR",,1/29/19,Appleton,,,,,McCaslin,Appleton,
HB 1742,f#,Juvenile offenses/depictions,H subst for,,3/4/19,Frame,,,,,Eslick,Frame,
HB 1743,af,Prevailing rate of wages,C 29 L 19,,4/17/19,Ormsby,,SB 5766(S Rules X),93-0-0-5,,Sells,Ormsby,
HB 1744,f,Gov. contracts/hours worked,"H Inn, Tech &  E",,1/30/19,Hudgins,,SB 5809(S State Govt/Tri),,,Appleton,Hudgins,
HB 1745,f#,Affordable housing options,H Finance,,2/15/19,Ryu,,,,,Appleton,Ryu,
HB 1746,f#,Commercial office space dev.,H subst for,,3/13/19,Fey,,,,,Gildon,Fey,
HB 1747,f,Risk-based water standards,H subst for,,3/13/19,Doglio,,,,,Gregerson,Doglio,
HB 1748,f#,Hospital safety net assess.,H Rules R,,2/28/19,Jinkins,,SB 5734(S subst for),,,Schmick,Jinkins,
HB 1749,f,Child welfare housing assist,H Approps,,2/18/19,Robinson,,SB 5718(S subst for),,,Macri,Robinson,
HB 1750,#,County sheriff vacancies,H Rules C,,3/21/19,Mosbrucker,,,,,Lovick,Mosbrucker,
HB 1751,f#,Communic. services/prisons,H Public Safety,,1/30/19,Peterson,,,,,Caldier,Peterson,
HB 1752,fd,Contractor bonding,H Rules R,,2/18/19,Orwall,,SB 5795(C 155 L 19),,,Sells,Orwall,
HB 1753,f,Health profession fees/rules,Del to Gov,,4/26/19,Riccelli,,,48-0-0-1,,Macri,Riccelli,
HB 1754,,Homeless hosting/religious,H Rules C,,3/21/19,Santos,,SB 5644(S Housing Stabil),,,Jinkins,Santos,
HB 1755,f,Education doctorate degrees,H Rules 3C,,4/28/19,Leavitt,,,95-2-0-1,,Van Werven,Leavitt,
EHB 1756,af#,Adult entertainer safety,Del to Gov,,4/26/19,Orwall,,SB 5724(S Labor & Commer),94-2-0-2,,Mosbrucker,Orwall,
HB 1757,f,Franchisors/employer status,H Labor & Workpl,,1/30/19,Mosbrucker,,,,,Springer,Mosbrucker,
HB 1758,,School construction taxes,H Finance,,1/30/19,Young,,,,,Walsh,Young,
HB 1759,,Veteran diversion/invol comm,H Civil R & Judi,,1/30/19,Young,,,,,Kirby,Young,
HB 1760,,Foster youth/homeschool,H H Svcs & Erly L,,1/30/19,Young,,,,,Shea,Young,
HB 1761,,Foster youth/homeschool,H H Svcs & Erly L,,1/30/19,Young,,,,,Shea,Young,
HB 1762,f,Ticket sale interference,H Rules C,,3/21/19,Young,,,,,,Young,
HB 1763,,Active shooter event/schools,H Civil R & Judi,,1/30/19,Young,,,,,,Young,
HB 1764,f#,Found property,H subst for,,3/4/19,Chambers,,,,,Goodman,Chambers,
HB 1765,f#,Disposable income/medical,H Finance,,1/30/19,Wylie,,,,,Pollet,Wylie,
HB 1766,f#,Unmanned aircraft,"H Inn, Tech &  E",,1/30/19,Lovick,,,,,Griffey,Lovick,
HB 1767,f#,Arrest & jail alternatives,H subst for,,3/6/19,Lovick,,,,,Leavitt,Lovick,
HB 1768,f,Substance use disorder prof.,H subst for,,3/5/19,Davis,,,,,Macri,Davis,
HB 1769,,Vessel crewmember license,H subst for,,3/7/19,Blake,,,,,Chandler,Blake,
HB 1770,f,Occupational board reform,H ConsPro&Bus,,1/30/19,Walsh,,,,,,Walsh,
HB 1771,fe#,Family supports,H Approps,,2/22/19,Senn,,SB 5683(S Ways & Means),,,Jinkins,Senn,
HB 1772,f#,Motorized foot scooters,H subst for,,3/12/19,Macri,,SB 5751(S Rules X),,,Chambers,Macri,
HB 1773,,Fire district equip./taxes,H Finance,,1/30/19,Dent,,,,,Peterson,Dent,
HB 1774,,Extreme risk protect. orders,H Civil R & Judi,,1/30/19,Jinkins,,,,,Fey,Jinkins,
HB 1775,f#,Sexually exploited children,H Approps,,2/22/19,Orwall,,SB 5744(S Ways & Means),,,Frame,Orwall,
HB 1776,fd,All payer claims database,H subst for,,3/12/19,Cody,,SB 5741(S subst for),,,Harris,Cody,
EHB 1777,f,Surgical facilities/CON,C 31 L 19,,4/17/19,Cody,,,47-0-0-2,,Harris,Cody,
HB 1778,,Excessive executive comp tax,H Finance,,1/30/19,Doglio,,,,,Entenman,Doglio,
HB 1779,,Student immigration status,H Education,,1/30/19,Doglio,,SB 5834(S EL/K-12),,,Dolan,Doglio,
HB 1780,,Main street program access,"H Hous, Com Dev",,1/30/19,Maycumber,,,,,Chapman,Maycumber,
HB 1781,f#,Land use petitions,H Rules R,,2/22/19,Pollet,,,,,Fitzgibbon,Pollet,
HB 1782,f#,Advisory group meetings,H Rules R,,2/22/19,Pollet,,,,,Orwall,Pollet,
HB 1783,f,Office of equity,H Rules C,,3/21/19,Gregerson,,SB 5776(S State Govt/Tri),,,Morgan,Gregerson,
HB 1784,f,Wildfire prevention,H subst for,,3/13/19,Kretz,,,,,Blake,Kretz,
HB 1785,,Crude oil volatility/rail,H Env & Energy,,1/30/19,Riccelli,,SB 5579(S subst for),,,Peterson,Riccelli,
HB 1786,f#,"Protection, etc. orders",H subst for,,3/5/19,Jinkins,,,,,Wylie,Jinkins,
HB 1787,,Filipino American history,H Rules C,,3/21/19,Chandler,,,,,Santos,Chandler,
HB 1788,f,WA state bar association,H subst for,,3/7/19,Stokesbary,,,,,,Stokesbary,
EHB 1789,af#,Vehicle service fees,Del to Gov,,4/28/19,Fey,,,85-12-0-1,,Barkis,Fey,
HB 1790,f#,Housing/urban growth areas,H Finance,,1/31/19,Griffey,,SB 5739(S subst for),,,MacEwen,Griffey,
HB 1791,f#,Vuln. children ed. opport.,H subst for,,3/6/19,Reeves,,SB 5851(S subst for),,,Sullivan,Reeves,
HB 1792,a,Marijuana retailer penalties,Del to Gov,,4/26/19,Pettigrew,,,66-30-0-2,,Appleton,Pettigrew,
HB 1793,f#,Auto. traffic safety cameras,H subst for,,4/15/19,Fitzgibbon,,SB 5789(S Transportation),,,Pettigrew,Fitzgibbon,
HB 1794,f,Marijuana bus. agreements,H subst for,,3/7/19,Stanford,,,,,MacEwen,Stanford,
HB 1795,f#,State recycling system,H Env & Energy,,1/31/19,Mead,,"SB 5854(S Environment, E)",,,Fitzgibbon,Mead,
HB 1796,f#,Comm. property/clean energy,H Rules C,,3/21/19,Doglio,,"SB 5730(S Environment, E)",,,Fitzgibbon,Doglio,
HB 1797,f#,Accessory dwelling units,H Rules C,,3/21/19,Gregerson,,SB 5812(S subst for),,,Barkis,Gregerson,
HB 1798,f#,Short-term rentals,H subst for,,3/7/19,Ryu,,SB 5870(S Financial Inst),,,Mosbrucker,Ryu,
HB 1799,,Death certificate short form,H subst for,,3/4/19,Hoff,,,,,Wylie,Hoff,
HB 1800,f#,Rural internet infra./taxes,H Finance,,1/31/19,Orcutt,,,,,Chapman,Orcutt,
EHB 1801,f#,"Abandoned cemeteries, entry",C 129 L 19,,4/24/19,Orcutt,,,47-0-0-2,,DeBolt,Orcutt,
HB 1802,#,Cemetery district withdrawal,H Local Govt,,1/31/19,Orcutt,,SB 5177(C 42 L 19),,,,Orcutt,
HB 1803,af,Minimum school days,Del to Gov,,4/26/19,Orcutt,,,94-0-0-4,,Santos,Orcutt,
HB 1804,f#,Mobile home park/prop. tax,"H Hous, Com Dev",,1/31/19,Orcutt,,,,,Appleton,Orcutt,
HB 1805,$,Mobile home rental assist.,H Approps,,2/19/19,Orcutt,,,,,Pollet,Orcutt,
HB 1806,f#,Vehicle valuation,H Finance,,1/31/19,Orcutt,,,,,,Orcutt,
HB 1807,f#,Investment projects tax pref,H Finance,,1/31/19,Orcutt,,,,,,Orcutt,
HB 1808,f#,Nonprofit fund-raising/tax,H Rules C,,3/21/19,Orcutt,,,,,,Orcutt,
HB 1809,,Alaskan Way viaduct overruns,H Trans,,1/31/19,Orcutt,,,,,Caldier,Orcutt,
HB 1810,f#,Rural health payment changes,H Approps,,1/31/19,Schmick,,,,,Tharinger,Schmick,
HB 1811,,Hearing instruments/children,H HC/Wellness,,1/31/19,Kilduff,,,,,Harris,Kilduff,
HB 1812,,Military spouses,H Finance,,2/21/19,Reeves,,,,,Leavitt,Reeves,
HB 1813,f,Pupil transp. contracts,H subst for,,3/8/19,Sullivan,,,,,Santos,Sullivan,
HB 1814,,Involuntary treatment act,H Civil R & Judi,,1/31/19,Orwall,,SB 5720(S subst for),,,,Orwall,
HB 1815,f#,Immigrants in the workplace,H Rules R,,3/1/19,Ortiz-Self,,SB 5497(S subst for),,,Chandler,Ortiz-Self,
HB 1816,f#,Medical transp. aircraft/tax,H Finance,,1/31/19,Dent,,,,,Peterson,Dent,
HB 1817,f,High hazard facilities,H subst for,,3/6/19,Sells,,SB 5698(S Labor & Commer),,,Chapman,Sells,
HB 1818,,Water & sewer/indiv metering,H Civil R & Judi,,1/31/19,Appleton,,SB 5775(S Financial Inst),,,Dolan,Appleton,
HB 1819,f#,Election reconciliation rpts,H State Govt & T,,1/31/19,Appleton,,,,,Hudgins,Appleton,
HB 1820,,Election material retention,H State Govt & Tr,,1/31/19,Appleton,,,,,Hudgins,Appleton,
HB 1821,,Postelection audit reports,H State Govt & T,,1/31/19,Appleton,,,,,Hudgins,Appleton,
HB 1822,,Election data collection,H State Govt & Tr,,1/31/19,Appleton,,,,,Hudgins,Appleton,
HB 1823,,Ballot image disclosure,H State Govt & Tr,,1/31/19,Appleton,,,,,Hudgins,Appleton,
HB 1824,f,Pinnipeds & orcas,H Approps,,2/22/19,Young,,,,,Kloba,Young,
HB 1825,,Conditionally released SVPs,H Approps,,2/22/19,Kilduff,,"SB 5941(S Human Svcs, Ree)",,,Leavitt,Kilduff,
HB 1826,f,Discharge planning process,H subst for,,3/4/19,Leavitt,,,,,Kilduff,Leavitt,
HB 1827,,Adult family home admission,H HC/Wellness,,1/31/19,Kilduff,,,,,Leavitt,Kilduff,
HB 1828,,Civil commit. siting,H HC/Wellness,,1/31/19,Leavitt,,,,,Kilduff,Leavitt,
HB 1829,f#,Veterans' assistance levies,H Rules 3C,,4/28/19,Chapman,,,66-32-0-0,,Goehner,Chapman,
HB 1830,f,Board of tax appeals admin.,H Finance,,1/31/19,Stokesbary,,,,,Jinkins,Stokesbary,
HB 1831,,Testing of drinking water,H Env & Energy,,1/31/19,Hudgins,,,,,Doglio,Hudgins,
HB 1832,f#,Public vehicle fleet,H Trans,,2/22/19,Macri,,,,,Fitzgibbon,Macri,
HB 1833,,School volunteers,H Education,,2/1/19,Dolan,,,,,Santos,Dolan,
HB 1834,,Low-income homeownership,H Cap Budget,,2/14/19,Ryu,,SB 5746(S subst for),,,Doglio,Ryu,
HB 1835,$,Additional WA-OR bridge,H Trans,,2/1/19,Kraft,,,,,McCaslin,Kraft,
HB 1836,f#,Child sex crimes/fee waivers,H subst for,,3/6/19,Kraft,,,,,Van Werven,Kraft,
HB 1837,f#,Lurid criminal contact,H Rules R,,2/22/19,Irwin,,,,,Griffey,Irwin,
HB 1838,f,Distillery information,H Rules 3C,,4/28/19,Walsh,,SB 5750(S State Govt/Tri),94-2-0-2,,Goehner,Walsh,
HB 1839,f#,Arena projects/taxes,H subst for,,3/11/19,Sullivan,,SB 5813(S Ways & Means),,,MacEwen,Sullivan,
HB 1840,f#,Sensitive data/st. networks,H Approps,,2/20/19,Smith,,,,,Hudgins,Smith,
HB 1841,f,Crew size on certain trains,H Rules 3C,,4/28/19,Riccelli,,SB 5877(S Labor & Commer),72-24-0-2,,Chandler,Riccelli,
HB 1842,f,Railroad employee work hours,H Rules R,,2/21/19,Gregerson,,SB 5878(S Labor & Commer),,,Walsh,Gregerson,
HB 1843,f,Railroad workers,H Rules C,,3/21/19,Chapman,,SB 5879(S Labor & Commer),,,Volz,Chapman,
HB 1844,f,State IT procurement/modular,"H Inn, Tech &  E",,2/1/19,Chandler,,,,,Hudgins,Chandler,
HB 1845,,Deduction of union dues,H Labor & Workpla,,2/1/19,Stokesbary,,,,,,Stokesbary,
EHB 1846,f,Off-road vehicle moneys,C 130 L 19,,4/24/19,Paul,,,47-0-0-2,,Walsh,Paul,
HB 1847,f#,Aircraft noise abatement,H subst for,,3/4/19,Pellicciotti,,,,,Orwall,Pellicciotti,
HB 1848,f,Foot zone therapy,H HC/Wellness,,2/1/19,Jenkin,,,,,,Jenkin,
HB 1849,fd,"Unplatted tidelands, etc.",H subst for,,3/12/19,Lekanoff,,SB 5852(S Ag/Water/Natur),,,Chapman,Lekanoff,
HB 1850,f,Behav. health professions,H Coll & Wkf Dev,,2/1/19,Senn,,SB 5635(S Rules 3),,,Appleton,Senn,
HB 1851,f,Care worker center,H Coll & Wkf Dev,,2/1/19,Senn,,,,,Eslick,Senn,
HB 1852,f#,Property tax refunds,C 32 L 19,,4/17/19,Ramos,,,48-0-0-1,,Pollet,Ramos,
HB 1853,$f#,Vehicle leaks/drip & drive,H Env & Energy,,2/1/19,Ramos,,,,,Peterson,Ramos,
HB 1854,f#,Consumer data,H Rules R,,3/1/19,Kloba,,SB 5376(S subst for),,,Hudgins,Kloba,
HB 1855,f#,Juvenile firearm possession,H H Svcs & Erly,,2/1/19,Orwall,,,,,Pettigrew,Orwall,
HB 1856,,Scleral tattooing,H subst for,,3/8/19,Tharinger,,,,,Caldier,Tharinger,
HB 1857,f,Plasma donation centers,H HC/Wellness,,2/1/19,Harris,,,,,Dolan,Harris,
HB 1858,,WA state bar association,H Civil R & Judi,,2/1/19,Shea,,,,,McCaslin,Shea,
HB 1859,,Personal care services pilot,H HC/Wellness,,2/1/19,Jinkins,,,,,Appleton,Jinkins,
HB 1860,,School drinking water/lead,H Education,,2/1/19,Pollet,,,,,Stanford,Pollet,
HB 1861,f#,Ballot rejection rates,H State Govt & T,,2/4/19,Mead,,,,,Appleton,Mead,
HB 1862,,Electrical net metering,H Env & Energy,,2/4/19,Mead,,SB 5223(S subst for),,,Shewmake,Mead,
HB 1863,,"Ag., food, nat. resource ed.",H Education,,2/4/19,Blake,,SB 5804(S EL/K-12),,,Dye,Blake,
HB 1864,,Veteran's disability passes,"H Hous, Com Dev",,2/4/19,Mosbrucker,,,,,Kilduff,Mosbrucker,
HB 1865,f,Acupuncture & Eastern med.,H subst for,,3/8/19,Cody,,SB 5794(S Health & Long),,,Harris,Cody,
HB 1866,f,Day care prof dev compliance,Gov vetoed,V,4/29/19,Dent,,,47-0-0-2,,Chapman,Dent,
HB 1867,,Day care prof dev changes,H H Svcs & Erly,,2/4/19,Dent,,,,,Klippert,Dent,
HB 1868,,RTA tax nullification,H Trans,,2/4/19,Young,,,,,Walsh,Young,
HB 1869,f,Emerging therapies work grp,H subst for,,3/4/19,Schmick,,,,,Cody,Schmick,
HB 1870,f,Afford. care act protections,H subst for,,3/1/19,Davis,,SB 5805(S Rules X),,,Cody,Davis,
HB 1871,fd,Prison safety,H Rules C,,3/21/19,Klippert,,SB 5888(S Law & Justice),,,Goodman,Klippert,
HB 1872,,Child sex exploit./subpoenas,H Civil R & Judi,,2/4/19,Klippert,,,,,Dent,Klippert,
HB 1873,f#,Vapor product taxation,H subst for,,4/26/19,Pollet,,,,,Harris,Pollet,
